id_camion,orden_parada,nodo_ine,paquetes,km_tramo,tiempo_tramo_min,tiempo_acumulado_min,Id_Transportista,Centro_Origen
347,2,1100402,68,172.67,117.3,361.3,347,Amazon_SVQ1
347,3,Regreso_Amazon_SVQ1,0,172.67,117.3,478.6,347,Amazon_SVQ1
348,1,Inicio_Amazon_SVQ1,0,0.0,40.0,40.0,348,Amazon_SVQ1
348,2,1100402,68,172.67,117.3,361.3,348,Amazon_SVQ1
348,3,Regreso_Amazon_SVQ1,0,172.67,117.3,478.6,348,Amazon_SVQ1
349,1,Inicio_Amazon_SVQ1,0,0.0,40.0,40.0,349,Amazon_SVQ1
349,2,1100402,68,172.67,117.3,361.3,349,Amazon_SVQ1
349,3,Regreso_Amazon_SVQ1,0,172.67,117.3,478.6,349,Amazon_SVQ1
350,1,Inicio_Amazon_SVQ1,0,0.0,40.0,40.0,350,Amazon_SVQ1
350,2,1100402,23,172.67,117.3,226.3,350,Amazon_SVQ1
350,3,1100404,45,1.1308608772397386,1.3570330526876864,362.65703305268767,350,Amazon_SVQ1
350,4,Regreso_Amazon_SVQ1,0,171.94,115.74,478.3970330526877,350,Amazon_SVQ1
351,1,Inicio_Amazon_SVQ1,0,0.0,40.0,40.0,351,Amazon_SVQ1
351,2,1100403,69,172.54,116.37,363.37,351,Amazon_SVQ1
351,3,Regreso_Amazon_SVQ1,0,172.54,116.37,479.74,351,Amazon_SVQ1
352,1,Inicio_Amazon_SVQ1,0,0.0,40.0,40.0,352,Amazon_SVQ1
352,2,1100403,69,172.54,116.37,363.37,352,Amazon_SVQ1
352,3,Regreso_Amazon_SVQ1,0,172.54,116.37,479.74,352,Amazon_SVQ1
353,1,Inicio_Amazon_SVQ1,0,0.0,40.0,40.0,353,Amazon_SVQ1
353,2,1100403,30,172.54,116.37,246.37,353,Amazon_SVQ1
353,3,1100404,39,0.2995653735789619,0.3594784482947543,363.72947844829474,353,Amazon_SVQ1
353,4,Regreso_Amazon_SVQ1,0,171.94,115.74,479.46947844829475,353,Amazon_SVQ1
354,1,Inicio_Amazon_SVQ1,0,0.0,40.0,40.0,354,Amazon_SVQ1
354,2,1100404,69,171.94,115.74,362.74,354,Amazon_SVQ1
354,3,Regreso_Amazon_SVQ1,0,171.94,115.74,478.48,354,Amazon_SVQ1
355,1,Inicio_Amazon_SVQ1,0,0.0,40.0,40.0,355,Amazon_SVQ1
355,2,1100404,69,171.94,115.74,362.74,355,Amazon_SVQ1
355,3,Regreso_Amazon_SVQ1,0,171.94,115.74,478.48,355,Amazon_SVQ1
