id_camion,orden_parada,nodo_ine,paquetes,km_tramo,tiempo_tramo_min,tiempo_acumulado_min,Id_Transportista,Centro_Origen,Zona_Geografica
132,3,1101203,36,0.20398239437268112,0.24477887324721734,398.5647788732472,132,Amazon_SVQ1,Zona_0
132,4,1101206,1,0.6015587445479449,0.7218704934575338,402.2866493667047,132,Amazon_SVQ1,Zona_0
132,5,Regreso_Amazon_SVQ1,0,108.9,76.26,478.5466493667047,132,Amazon_SVQ1,Zona_0
133,1,Inicio_Amazon_SVQ1,0,0.0,35.0,35.0,133,Amazon_SVQ1,Zona_0
133,2,1101202,57,109.62,79.01,285.01,133,Amazon_SVQ1,Zona_0
133,3,1101203,21,0.1640972106368737,0.19691665276424844,348.2069166527642,133,Amazon_SVQ1,Zona_0
133,4,1101205,17,0.3542710771900077,0.4251252926280093,399.63204194539225,133,Amazon_SVQ1,Zona_0
133,5,1101206,1,0.2980574668065243,0.3576689601678292,402.98971090556006,133,Amazon_SVQ1,Zona_0
133,6,Regreso_Amazon_SVQ1,0,108.9,76.26,479.24971090556005,133,Amazon_SVQ1,Zona_0
134,1,Inicio_Amazon_SVQ1,0,0.0,35.0,35.0,134,Amazon_SVQ1,Zona_0
134,2,1101204,33,109.75,79.44,213.44,134,Amazon_SVQ1,Zona_0
134,3,1101205,22,0.33548850217894843,0.40258620261473815,279.8425862026147,134,Amazon_SVQ1,Zona_0
134,4,1101206,35,0.2980574668065243,0.3576689601678292,385.2002551627825,134,Amazon_SVQ1,Zona_0
134,5,1101207,6,0.7724272332160014,0.9269126798592017,404.1271678426417,134,Amazon_SVQ1,Zona_0
134,6,Regreso_Amazon_SVQ1,0,107.94,75.07,479.1971678426417,134,Amazon_SVQ1,Zona_0
135,1,Inicio_Amazon_SVQ1,0,0.0,35.0,35.0,135,Amazon_SVQ1,Zona_0
135,2,1101207,21,107.94,75.07,173.07,135,Amazon_SVQ1,Zona_0
135,3,1101208,77,0.7650106721654121,0.9180128065984945,404.9880128065985,135,Amazon_SVQ1,Zona_0
135,4,Regreso_Amazon_SVQ1,0,107.84,74.04,479.0280128065985,135,Amazon_SVQ1,Zona_0
136,1,Inicio_Amazon_SVQ1,0,0.0,35.0,35.0,136,Amazon_SVQ1,Zona_0
136,2,1101208,98,107.84,74.04,403.04,136,Amazon_SVQ1,Zona_0
136,3,Regreso_Amazon_SVQ1,0,107.84,74.04,477.08000000000004,136,Amazon_SVQ1,Zona_0
137,1,Inicio_Amazon_SVQ1,0,0.0,35.0,35.0,137,Amazon_SVQ1,Zona_0
137,2,1101208,98,107.84,74.04,403.04,137,Amazon_SVQ1,Zona_0
137,3,Regreso_Amazon_SVQ1,0,107.84,74.04,477.08000000000004,137,Amazon_SVQ1,Zona_0
138,1,Inicio_Amazon_SVQ1,0,0.0,35.0,35.0,138,Amazon_SVQ1,Zona_0
138,2,1101208,4,107.84,74.04,121.04,138,Amazon_SVQ1,Zona_0
138,3,1101209,94,1.166236808575326,1.3994841702903913,404.4394841702904,138,Amazon_SVQ1,Zona_0
138,4,Regreso_Amazon_SVQ1,0,107.52,74.08,478.5194841702904,138,Amazon_SVQ1,Zona_0
139,1,Inicio_Amazon_SVQ1,0,0.0,35.0,35.0,139,Amazon_SVQ1,Zona_0
139,2,1101209,98,107.52,74.08,403.08,139,Amazon_SVQ1,Zona_0
139,3,Regreso_Amazon_SVQ1,0,107.52,74.08,477.15999999999997,139,Amazon_SVQ1,Zona_0
140,1,Inicio_Amazon_SVQ1,0,0.0,35.0,35.0,140,Amazon_SVQ1,Zona_0
140,2,1101209,32,107.52,74.08,205.07999999999998,140,Amazon_SVQ1,Zona_0
140,3,1101210,66,0.9296233182472802,1.1155479818967362,404.1955479818967,140,Amazon_SVQ1,Zona_0
140,4,Regreso_Amazon_SVQ1,0,108.29,75.36,479.5555479818967,140,Amazon_SVQ1,Zona_0
141,1,Inicio_Amazon_SVQ1,0,0.0,35.0,35.0,141,Amazon_SVQ1,Zona_0
141,2,1101210,98,108.29,75.36,404.36,141,Amazon_SVQ1,Zona_0
141,3,Regreso_Amazon_SVQ1,0,108.29,75.36,479.72,141,Amazon_SVQ1,Zona_0
142,1,Inicio_Amazon_SVQ1,0,0.0,35.0,35.0,142,Amazon_SVQ1,Zona_0
142,2,1101210,98,108.29,75.36,404.36,142,Amazon_SVQ1,Zona_0
142,3,Regreso_Amazon_SVQ1,0,108.29,75.36,479.72,142,Amazon_SVQ1,Zona_0
143,1,Inicio_Amazon_SVQ1,0,0.0,35.0,35.0,143,Amazon_SVQ1,Zona_0
143,2,1101210,20,108.29,75.36,170.36,143,Amazon_SVQ1,Zona_0
143,3,1102801,77,7.611229195596312,9.133475034715575,410.49347503471563,143,Amazon_SVQ1,Zona_0
143,4,Regreso_Amazon_SVQ1,0,99.89,68.28,478.7734750347156,143,Amazon_SVQ1,Zona_0
144,1,Inicio_Amazon_SVQ1,0,0.0,35.0,35.0,144,Amazon_SVQ1,Zona_0
144,2,1101301,28,187.62,132.69,251.69,144,Amazon_SVQ1,Zona_0
144,3,1102102,20,10.288637282990669,12.346364739588802,324.0363647395888,144,Amazon_SVQ1,Zona_0
144,4,1103305,1,13.216194786102147,15.859433743322578,342.8957984829114,144,Amazon_SVQ1,Zona_0
144,5,1103302,1,11.079197715211569,13.295037258253883,359.1908357411653,144,Amazon_SVQ1,Zona_0
144,6,Regreso_Amazon_SVQ1,0,177.7,120.01,479.2008357411653,144,Amazon_SVQ1,Zona_0
145,1,Inicio_Amazon_SVQ1,0,0.0,35.0,35.0,145,Amazon_SVQ1,Zona_0
145,2,1101501,94,114.06,81.33,398.33,145,Amazon_SVQ1,Zona_0
145,3,Regreso_Amazon_SVQ1,0,114.06,81.33,479.65999999999997,145,Amazon_SVQ1,Zona_0
146,1,Inicio_Amazon_SVQ1,0,0.0,35.0,35.0,146,Amazon_SVQ1,Zona_0
146,2,1101501,56,114.06,81.33,284.33,146,Amazon_SVQ1,Zona_0
146,3,1101504,38,0.46353467110718416,0.556241605328621,398.8862416053286,146,Amazon_SVQ1,Zona_0
146,4,Regreso_Amazon_SVQ1,0,112.99,80.55,479.43624160532863,146,Amazon_SVQ1,Zona_0
147,1,Inicio_Amazon_SVQ1,0,0.0,35.0,35.0,147,Amazon_SVQ1,Zona_0
147,2,1101502,79,115.26,83.91,355.90999999999997,147,Amazon_SVQ1,Zona_0
147,3,1101503,13,0.6220972667598266,0.7465167201117919,395.65651672011177,147,Amazon_SVQ1,Zona_0
147,4,Regreso_Amazon_SVQ1,0,114.49,82.14,477.79651672011175,147,Amazon_SVQ1,Zona_0
148,1,Inicio_Amazon_SVQ1,0,0.0,35.0,35.0,148,Amazon_SVQ1,Zona_0
148,2,1101503,68,114.49,82.14,321.14,148,Amazon_SVQ1,Zona_0
148,3,1101504,25,0.91754222192663,1.1010506663119561,397.24105066631193,148,Amazon_SVQ1,Zona_0
148,4,Regreso_Amazon_SVQ1,0,112.99,80.55,477.79105066631195,148,Amazon_SVQ1,Zona_0
149,1,Inicio_Amazon_SVQ1,0,0.0,35.0,35.0,149,Amazon_SVQ1,Zona_0
149,2,1101504,94,112.99,80.55,397.55,149,Amazon_SVQ1,Zona_0
149,3,Regreso_Amazon_SVQ1,0,112.99,80.55,478.1,149,Amazon_SVQ1,Zona_0
150,1,Inicio_Amazon_SVQ1,0,0.0,35.0,35.0,150,Amazon_SVQ1,Zona_0
150,2,1101504,36,112.99,80.55,223.55,150,Amazon_SVQ1,Zona_0
150,3,1103106,56,6.506039762107262,7.807247714528714,399.35724771452874,150,Amazon_SVQ1,Zona_0
150,4,1102801,1,7.488089457465662,8.985707348958794,411.3429550634875,150,Amazon_SVQ1,Zona_0
150,5,Regreso_Amazon_SVQ1,0,99.89,68.28,479.62295506348755,150,Amazon_SVQ1,Zona_0
