Nombre,Latitud,Longitud,Municipio,Tipo,Area_Ha,Descripcion
Poligono_Nave_industrial_055,37.294751,-7.127727,Huelva,nave_industrial,0.68,OSM: nave_industrial | 0.7 ha | Huelva
Nanta,37.290038,-5.899539,Sevilla,nave_industrial,0.68,OSM: nave_industrial | 0.7 ha | Sevilla
Poligono_Nave_industrial_056,37.411527,-5.888436,Sevilla,nave_industrial,0.67,OSM: nave_industrial | 0.7 ha | Sevilla
Poligono_Nave_industrial_057,36.642923,-6.132434,Cádiz,nave_industrial,0.67,OSM: nave_industrial | 0.7 ha | Cádiz
Poligono_Nave_industrial_058,37.272909,-4.811831,Sevilla,nave_industrial,0.65,OSM: nave_industrial | 0.7 ha | Sevilla
Poligono_Nave_industrial_059,37.160052,-6.498865,Huelva,nave_industrial,0.65,OSM: nave_industrial | 0.7 ha | Huelva
Poligono_Nave_industrial_060,37.071848,-5.090357,Sevilla,nave_industrial,0.64,OSM: nave_industrial | 0.6 ha | Sevilla
Poligono_Nave_industrial_061,37.902387,-4.706399,Córdoba,nave_industrial,0.64,OSM: nave_industrial | 0.6 ha | Córdoba
Poligono_Nave_industrial_062,37.6624,-4.721196,Córdoba,nave_industrial,0.62,OSM: nave_industrial | 0.6 ha | Córdoba
Supply Bldg 55,36.640179,-6.353352,Cádiz,nave_industrial,0.62,OSM: nave_industrial | 0.6 ha | Cádiz
SYRSA Automoción (Renault),37.403718,-5.959269,Sevilla,nave_industrial,0.61,OSM: nave_industrial | 0.6 ha | Sevilla
Poligono_Nave_industrial_063,37.291797,-6.897511,Huelva,nave_industrial,0.61,OSM: nave_industrial | 0.6 ha | Huelva
Poligono_Nave_industrial_064,37.610996,-4.734442,Córdoba,nave_industrial,0.6,OSM: nave_industrial | 0.6 ha | Córdoba
Poligono_Nave_industrial_065,37.499631,-6.012193,Sevilla,nave_industrial,0.6,OSM: nave_industrial | 0.6 ha | Sevilla
Poligono_Nave_industrial_066,36.712054,-6.126514,Cádiz,nave_industrial,0.59,OSM: nave_industrial | 0.6 ha | Cádiz
Poligono_Nave_industrial_067,37.393539,-5.956584,Sevilla,nave_industrial,0.59,OSM: nave_industrial | 0.6 ha | Sevilla
Poligono_Nave_industrial_068,36.281102,-5.429439,Cádiz,nave_industrial,0.58,OSM: nave_industrial | 0.6 ha | Cádiz
Poligono_Nave_industrial_069,36.866014,-5.645709,Cádiz,nave_industrial,0.58,OSM: nave_industrial | 0.6 ha | Cádiz
Poligono_Nave_industrial_070,37.304813,-6.374002,Huelva,nave_industrial,0.58,OSM: nave_industrial | 0.6 ha | Huelva
Poligono_Nave_industrial_071,37.687107,-4.476611,Córdoba,nave_industrial,0.57,OSM: nave_industrial | 0.6 ha | Córdoba
Poligono_Nave_industrial_072,37.783111,-6.80257,Huelva,nave_industrial,0.57,OSM: nave_industrial | 0.6 ha | Huelva
Poligono_Nave_industrial_073,37.311385,-6.845259,Huelva,nave_industrial,0.57,OSM: nave_industrial | 0.6 ha | Huelva
Poligono_Nave_industrial_074,37.537237,-6.034324,Sevilla,nave_industrial,0.55,OSM: nave_industrial | 0.6 ha | Sevilla
Kaura Coproducts (C3),37.488681,-6.094368,Sevilla,nave_industrial,0.55,OSM: nave_industrial | 0.6 ha | Sevilla
Poligono_Nave_industrial_075,37.396757,-5.945927,Sevilla,nave_industrial,0.54,OSM: nave_industrial | 0.5 ha | Sevilla
Cernaval,36.174359,-5.378589,Cádiz,almacen,0.54,OSM: almacen | 0.5 ha | Cádiz
Poligono_Nave_industrial_076,37.381171,-5.917635,Sevilla,nave_industrial,0.53,OSM: nave_industrial | 0.5 ha | Sevilla
Poligono_Nave_industrial_077,37.906883,-4.71003,Córdoba,nave_industrial,0.53,OSM: nave_industrial | 0.5 ha | Córdoba
Poligono_Nave_industrial_078,36.714012,-6.109703,Cádiz,nave_industrial,0.53,OSM: nave_industrial | 0.5 ha | Cádiz
Poligono_Nave_industrial_079,37.319066,-6.823348,Huelva,nave_industrial,0.52,OSM: nave_industrial | 0.5 ha | Huelva
Poligono_Nave_industrial_080,37.444923,-4.215837,Córdoba,nave_industrial,0.51,OSM: nave_industrial | 0.5 ha | Córdoba
Poligono_Almacen_005,37.91614,-4.725628,Córdoba,almacen,0.51,OSM: almacen | 0.5 ha | Córdoba
