lat,lon,nombre
37.3572336,-7.5165062,nodo_359697598
37.1976515,-4.7956476,123
37.300897,-4.8653665,106
37.2001442,-4.796184,nodo_364174565
37.8407878,-4.791861,406
37.8692614,-4.7640743,401
37.8861568,-4.7506063,399
37.8992346,-4.7486172,267
37.0910108,-4.4154747,163
37.0948598,-4.4089129,163
37.0708129,-4.5237065,152
36.6483232,-6.0816642,1
37.0701631,-4.5368624,152
38.4224335,-6.3462367,682
38.4581526,-6.352111,677
36.6887026,-4.4599672,nodo_387766260
38.4008634,-6.3406758,684
38.3921422,-6.3403869,684
38.3938277,-6.3402853,nodo_392937356
38.317723,-6.3062545,694
38.3102633,-6.3025664,694
36.7290715,-4.360951,978
36.7242842,-4.3445395,5
38.403029,-6.3494291,nodo_410193569
38.3930855,-6.3463935,nodo_410193597
38.2363756,-6.292627,703
38.227298,-6.2951481,704
36.7243375,-4.4546189,9
36.3577362,-6.1068153,15
36.7139264,-4.332895,4
36.7165602,-4.3370293,4
36.7317237,-4.3565149,978B
36.7221501,-4.3128516,1
36.7232649,-4.307356,1
36.725445,-4.3114019,973
36.7173757,-4.3172332,2
37.1974997,-6.9800172,15
37.1913212,-6.9776681,15
37.4300885,-7.531689,nodo_420830880
36.7140479,-4.4785421,67
36.4501087,-5.7494844,42
36.7248324,-4.246884,967
36.6815764,-4.4690811,4
36.6761124,-4.4755278,nodo_431607566
36.2959509,-5.287073,1091
36.7555426,-6.0747846,628
36.7153821,-4.5528702,61
37.5324621,-6.0907315,795
36.4413532,-5.7235399,45
36.235529,-5.5795904,73
36.264868,-5.5838935,70
36.2403571,-5.5815024,73
36.3823071,-5.6531488,54
36.4560583,-5.7655098,40
36.4720963,-5.804326,36
36.4694696,-5.8506596,31
36.489893,-5.9229399,24
36.6170539,-6.0644982,4
36.4331347,-5.1682277,153
37.3791683,-5.9432932,4
37.3823064,-5.942169,3
37.6804717,-4.9291361,432
36.5191153,-6.1591695,660
37.4023613,-5.9470917,1
36.2955296,-6.0572675,26
36.9112904,-5.9700083,53
37.4091813,-5.9437605,536
36.7187939,-5.9218893,15
36.7418683,-5.8735097,20
36.7430848,-5.8711347,20
37.3744883,-6.0840678,5
37.3894218,-5.9417299,nodo_499423894
36.7203032,-4.695566,48
36.7648773,-4.4237118,nodo_538850447
36.8101268,-4.4382605,nodo_538850734
36.9052363,-4.4454077,123
36.8796979,-4.4261619,127
36.9597968,-4.4466517,nodo_538851578
36.7725283,-4.4255355,140
36.8127187,-4.4442047,136
36.8223034,-4.4447704,134
36.8274646,-4.4448738,134
36.8433313,-4.4503616,nodo_538856110
36.8669174,-4.4359203,nodo_538856326
36.9218091,-4.4470369,nodo_538856394
36.9263214,-4.447166,nodo_538856396
36.896705,-4.4265729,124
36.9428837,-4.4400076,nodo_538857083
36.8786429,-4.4280977,127
37.00951,-4.4889648,nodo_538860388
37.0839023,-4.4448343,160
37.1110558,-4.3953293,167
37.069553,-4.3260805,7
37.05542,-4.357561,11
37.0235512,-4.3898246,16
36.9888661,-4.4003241,20
36.4303961,-5.1727222,nodo_539151919
37.2587866,-6.9211951,12
37.2649799,-6.9185353,11
37.2456066,-6.9435206,15
37.245374,-6.9438746,15
37.2718322,-6.9863445,3
37.2836501,-6.9394371,8
37.3197292,-6.9048442,81
37.4264876,-5.9005063,532
37.4261536,-5.9009273,532
37.4299087,-5.8643937,528
37.4302389,-5.8623978,528
37.4338099,-5.8768306,530
36.9844518,-5.9465402,44
37.348764,-5.9389575,nodo_560171139
36.716092,-6.1295989,635
36.716099,-6.1221789,635
36.697335,-6.1681873,639
36.7030021,-6.1648035,639
36.6843026,-6.1795276,25
36.6821308,-6.1647711,25
36.6736304,-6.1523177,nodo_561608628
36.5648491,-6.2028536,nodo_563359111
36.5356072,-6.168371,658
36.5453296,-6.1681558,658
36.5412113,-6.1621187,101
36.5360738,-6.1682176,nodo_563393028
36.5408681,-6.17098,102
36.5233988,-6.1633614,660
36.4686306,-6.1606075,668
36.4982271,-6.1442031,664
36.3555044,-6.0997246,15
38.0291796,-4.1634986,335
36.2893909,-6.0549203,26
36.2674066,-6.0284518,30
36.2741759,-6.028694,30
36.3482224,-6.0641094,19
36.3459019,-6.0584182,19
36.2560272,-5.9793346,36
36.2537327,-5.9876639,36
36.1719258,-5.459906,nodo_567472149
36.1768011,-5.4515501,1114
37.4540008,-4.4559055,47
37.5741218,-5.0043305,445
37.5844199,-4.9898962,444
37.7466343,-4.8473711,420
36.4693365,-5.0134576,1056A
37.3355855,-5.9198834,nodo_617231014
37.3351225,-5.9190345,nodo_617231018
36.6721743,-4.477835,nodo_634521060
37.3359388,-7.4967796,nodo_665484951
37.0940765,-4.6287082,142
37.0765983,-4.5328298,98
37.2836075,-4.4872641,72
38.0883279,-6.2617542,722
36.5521164,-4.6254007,1014
37.3802003,-5.9427546,3
37.3572252,-6.1772384,14
37.3576938,-6.165757,14
37.310618,-5.8913567,8
36.7183859,-4.5928578,57
36.5161893,-4.8255225,nodo_736559094
37.4676337,-5.716719,514
37.2636081,-7.0066283,5
37.2610206,-7.0108802,5
37.2170684,-7.0230714,10
37.331078,-6.8085803,nodo_799716403
37.2292586,-5.0930472,84
37.2353736,-5.0810234,85
37.2337629,-5.0843971,84A
37.2720304,-5.4932625,46
37.275006,-5.4874231,46
37.2631264,-5.5272804,43
37.2747142,-5.4465384,49B
37.4273937,-6.030617,808
37.4344607,-6.0324458,808
37.2393996,-7.3756983,129
37.2521594,-7.3347105,125
37.2389573,-7.3820626,129
37.2728225,-7.2533166,117
37.2485893,-7.3410388,125
38.1396544,-6.2748564,715
37.3911129,-5.8584966,5
37.5070352,-6.0702011,798
37.4623314,-6.0446872,805
37.5143618,-6.0740831,798
37.4587331,-6.0449273,nodo_860467083
37.4536731,-6.0431011,805
37.4350629,-5.8094726,nodo_861711665
37.255428,-5.5677412,nodo_868599666
