Nombre,Latitud,Longitud,Municipio,Tipo,Area_Ha,Descripcion,pendiente_pct,enp_dist_m,agua_dist_m,usos_dist_m,dist_autopista_km,autopista_cercana,cobertura_pct,poblacion_30km,dist_competencia_km,estacion_cercana,subst_dist_m,subst_encontrada,desv_centroide_km,concentracion_30km_pct,dist_nucleo_km,nucleo_cercano,motivos_rechazo,aprobado,eliminado_dedup
Polígono Industrial Tablada,37.364217,-6.002138,Sevilla,industrial,22.2,OSM: industrial | 22.2 ha | Sevilla,1.0,1557,,,0.61,12,45.0,1536713,2.52,Amazon DSP Sevilla,258,True,3.54,82.0,3.13,Dos Hermanas,,True,True
Poligono_Industrial_036,37.938854,-4.466119,Córdoba,industrial,22.03,OSM: industrial | 22.0 ha | Córdoba,1.67,307,,308,1.7,370,14.3,371495,32.15,Correos Express Hub Córdoba,2732,True,25.36,60.8,28.05,Córdoba,F2(ENP a 307 m (mín 500 m)),False,False
Los Remedios Picasat,36.939735,-5.223151,Sevilla,industrial,21.89,OSM: industrial | 21.9 ha | Sevilla,12.33,,34,,31.68,nodo_5020438739,8.2,81943,63.14,Amazon DQA3 Málaga,1508,True,23.55,19.6,73.89,Algeciras,F1(pendiente=12.3%) | F3(Agua a 34 m (mín 140 m)) | F5(31.7 km>15.0 km) | F12(Algeciras 73.9 km>50.0 km),False,False
Poligono_Greenfield_001,37.87327,-4.844642,Córdoba,greenfield,21.72,OSM: greenfield | 21.7 ha | Córdoba,2.0,2208,,328,4.94,3,17.2,389325,7.1,Correos Express Hub Córdoba,2607,True,12.25,53.2,5.96,Córdoba,,True,True
Polígono Industrial La Molina,37.259766,-4.991121,Sevilla,industrial,21.69,OSM: industrial | 21.7 ha | Sevilla,4.0,,,412,0.47,95,11.4,122147,64.53,Correos Express Hub Córdoba,,False,16.02,21.2,72.33,Córdoba,F1(pendiente=4.0%) | F12(Córdoba 72.3 km>50.0 km),False,False
Polígono Industrial Majaloba,37.45714,-5.977572,Sevilla,industrial,21.64,OSM: industrial | 21.6 ha | Sevilla,2.0,,25,,0.68,nodo_1064874500,44.4,1466195,10.56,SEUR Hub Sevilla,1507,True,10.23,80.0,7.68,Sevilla,F3(Agua a 25 m (mín 140 m)),False,False
Poligono_Comercial_003,37.239215,-5.131025,Sevilla,comercial,21.62,OSM: comercial | 21.6 ha | Sevilla,1.67,,,,0.33,80,15.3,101824,70.87,Correos Express Hub Córdoba,1643,True,19.19,13.4,76.84,Dos Hermanas,F12(Dos Hermanas 76.8 km>50.0 km),False,False
Polígono Industrial El Muro,37.166026,-5.939258,Sevilla,industrial,21.6,OSM: industrial | 21.6 ha | Sevilla,1.33,,158,0,1.9,565,51.1,1359158,20.77,Amazon DSP Sevilla,1262,True,10.84,64.7,24.75,Dos Hermanas,F4(residential a 0 m (mín 200 m)),False,False
Siderúrgica Sevillana,37.362734,-5.887424,Alcalá de Guadaira,industrial,21.54,OSM: industrial | 21.5 ha | Sevilla,4.33,,,,1.58,5,45.2,1539815,3.85,SEUR Hub Sevilla,78,True,5.87,81.8,8.59,Dos Hermanas,F1(pendiente=4.3%),False,False
Poligono_Industrial_037,37.138891,-6.160925,Sevilla,industrial,21.46,OSM: industrial | 21.5 ha | Sevilla,1.33,,208,158,19.68,35,53.1,569388,28.42,Amazon DSP Sevilla,921,True,15.05,26.1,31.82,Dos Hermanas,F4(residential a 158 m (mín 200 m)) | F5(19.7 km>15.0 km),False,False
Poligono_Industrial_038,37.508842,-6.229595,Sevilla,industrial,21.41,OSM: industrial | 21.4 ha | Sevilla,14.67,336,270,,12.22,795,43.4,1022707,28.24,Amazon DSP Sevilla,49,True,22.62,57.3,25.62,Sevilla,F1(pendiente=14.7%) | F2(ENP a 336 m (mín 500 m): Paisaje Protegido Corredo),False,False
Polígono Industrial Los Postigos,37.596659,-4.483236,Córdoba,industrial,21.3,OSM: industrial | 21.3 ha | Córdoba,7.67,,345,,15.61,40,16.3,171234,37.33,Correos Express Hub Córdoba,,False,23.8,21.0,41.58,Córdoba,F1(pendiente=7.7%) | F5(15.6 km>15.0 km),False,False
Poligono_Industrial_039,37.578649,-4.283902,Córdoba,industrial,21.29,OSM: industrial | 21.3 ha | Córdoba,4.33,1292,,,20.55,47,14.6,143262,52.74,Correos Express Hub Córdoba,3362,True,38.08,19.2,55.53,Córdoba,F1(pendiente=4.3%) | F5(20.6 km>15.0 km) | F12(Córdoba 55.5 km>50.0 km),False,False
Parque Empresarial Higuerón Sur,37.432319,-5.970927,Sevilla,comercial,21.24,OSM: comercial | 21.2 ha | Sevilla,1.67,,396,117,2.16,nodo_1064874523,44.6,1466195,7.82,SEUR Hub Sevilla,302,True,7.79,79.7,5.01,Sevilla,F4(residential a 117 m (mín 200 m)),False,False
Polígono Industrial El Olivar,36.205128,-5.927465,Cádiz,industrial,21.24,OSM: industrial | 21.2 ha | Cádiz,5.33,,,555,7.33,36,23.1,108800,52.08,Amazon El Puerto de Santa María (Cádiz),1423,True,26.43,9.7,48.23,Cádiz,F1(pendiente=5.3%),False,False
